soundtrack,pipeline_f1,gt_valence,gt_energy,gt_tension,gt_anger,gt_fear,gt_happy,gt_sad,gt_tender,genre_Action,genre_Crime,genre_Drama,genre_Adventure,genre_Comedy,genre_Biography,genre_Documentary,genre_Horror,n_clips,log_gross,gross,year,scope
Last samurai,0.38333333333333336,3.1,4.6425,5.6075,4.1225000000000005,5.0,1.0,1.9175,2.0,1,0,1,0,0,0,0,0,4,8.659687095401468,456758981.0,2003.0,worldwide (max of reported figures)
Lethal weapon 3,0.25,3.5275,4.04625,4.545,2.6625,2.86625,1.60375,3.02125,2.8125,1,1,0,0,0,0,0,0,8,8.507493620215797,321731527.0,1992.0,worldwide (max of reported figures)
Mississippi Burning,0.37777777777777777,2.776666666666667,4.1433333333333335,5.433333333333334,2.9433333333333334,5.033333333333333,1.0566666666666666,1.7333333333333334,1.2,0,1,1,0,0,0,0,0,3,7.539125587971276,34603943.0,1988.0,worldwide (max of reported figures)
Mother of Mine,0.2888888888888889,5.011666666666667,3.171666666666667,3.2449999999999997,1.555,2.445,1.6116666666666666,4.638333333333333,3.611666666666667,0,0,1,0,0,0,0,0,6,6.45513246580217,2851888.0,2005.0,domestic only
Naked Lunch,0.16666666666666666,3.1662500000000002,4.34625,4.87125,1.875,2.33375,1.56375,1.97875,2.08375,0,0,1,0,0,0,0,0,8,6.421827103460587,2641357.0,1991.0,worldwide (max of reported figures)
Nostradamus,0.2888888888888889,4.473333333333333,3.2,3.4433333333333334,1.7000000000000002,2.566666666666667,2.371111111111111,3.0033333333333334,3.128888888888889,0,0,1,0,0,1,0,0,9,5.561297010722727,364164.0,1994.0,domestic only
Oliver Twist,0.3357142857142857,4.516666666666667,4.485833333333333,4.109166666666667,2.0691666666666664,2.858333333333333,2.7225,1.7391666666666667,2.3808333333333334,0,1,1,0,0,0,0,0,12,6.318130353122643,2080321.0,2005.0,domestic only
Outbreak,0.3904761904761905,3.6285714285714286,4.638571428571429,5.014285714285714,3.762857142857143,4.0371428571428565,1.7914285714285714,1.3571428571428572,1.947142857142857,1,0,1,0,0,0,0,0,7,8.278296208091273,189800000.0,1995.0,worldwide (max of reported figures)
Psycho,0.3638095238095238,3.066,3.968,5.108,3.166,4.8340000000000005,1.1,2.766,1.466,0,0,1,0,0,0,0,1,5,7.698970004336019,50000000.0,1960.0,worldwide (max of reported figures)
Road to Perdition,0.37010582010582005,4.485555555555555,3.592777777777778,3.847777777777778,2.227777777777778,2.498333333333333,2.212222222222222,2.615,3.158333333333333,0,1,1,0,0,0,0,0,18,8.25768212119307,181001478.0,2002.0,worldwide (max of reported figures)
Running Scared,0.5592592592592592,3.3677777777777775,3.8444444444444446,4.888888888888889,2.8155555555555556,4.278888888888889,1.1777777777777778,2.728888888888889,2.118888888888889,1,1,1,0,0,0,0,0,9,6.836016138592997,6855137.0,2006.0,domestic only
Shakespeare in Love,0.38476190476190475,4.683999999999999,3.851,3.9730000000000003,1.9600000000000002,2.304,3.001,2.523,2.616,0,0,1,0,1,0,0,0,10,8.461348433647983,289300000.0,1998.0,worldwide (max of reported figures)
Shallow Grave,0.37333333333333335,4.218,5.006,4.108,1.2,2.626,4.206,1.134,1.952,0,1,1,0,0,0,0,0,5,6.317973334810164,2079569.0,1994.0,domestic only
Shine,0.32592592592592595,5.095555555555555,4.977777777777778,3.652222222222222,1.6488888888888888,1.3144444444444445,4.225555555555555,1.7544444444444443,3.252222222222222,0,0,1,0,0,1,0,0,9,7.555001652072373,35892330.0,1996.0,domestic only
The English Patient,0.4041666666666667,4.8875,2.9375,3.5,1.3125,1.99875,1.58,4.5,3.73,0,0,1,0,0,0,0,0,8,8.3654879848909,232000000.0,1996.0,worldwide (max of reported figures)
The Fifth Element,0.3812925170068028,3.580714285714286,3.6785714285714284,4.561428571428571,2.869285714285714,3.6714285714285713,1.1592857142857143,2.552857142857143,2.4192857142857145,1,0,0,1,0,0,0,0,14,8.42143939022005,263900000.0,1997.0,worldwide (max of reported figures)
The Four Feathers,0.42857142857142855,4.765000000000001,3.615,3.125,2.5425,2.1675,2.2925,3.085,4.5,0,0,1,1,0,0,0,0,4,7.262597396218836,18306166.0,2002.0,domestic only
The Godfather,0.36190476190476195,4.176666666666667,4.79,3.8666666666666667,2.0,2.776666666666667,4.776666666666666,1.0,2.6333333333333333,0,1,1,0,0,0,0,0,3,8.431375657230953,270007394.0,1972.0,worldwide (max of reported figures)
The Missing,0.16666666666666666,3.475,4.525,4.99,3.60875,4.2375,1.3912499999999999,2.2112499999999997,1.775,0,0,1,1,0,0,0,0,8,7.431543557023243,27011180.0,2003.0,domestic only
The Omen,0.16666666666666666,3.6116666666666664,4.083333333333333,4.216666666666667,2.305,3.2566666666666664,2.455,2.3333333333333335,2.845,0,0,0,0,0,0,0,1,6,7.784617292632875,60900000.0,1976.0,worldwide (max of reported figures)
The Portrait of a Lady,0.3666666666666667,5.726666666666667,3.355,2.6333333333333333,1.0666666666666667,1.0,4.026666666666666,3.145,4.428333333333334,0,0,1,0,0,0,0,0,6,6.567360020925673,3692836.0,1996.0,domestic only
The Rainmaker,0.3212121212121212,4.541818181818182,4.4763636363636365,3.8027272727272727,1.8181818181818181,1.8327272727272728,3.2736363636363635,1.9554545454545453,2.439090909090909,0,1,1,0,0,0,0,0,11,7.661971320704395,45916769.0,1997.0,domestic only
The Untouchables,0.45555555555555555,3.8383333333333334,4.678333333333334,4.331666666666667,2.14,3.2783333333333338,2.555,1.9716666666666667,2.6666666666666665,0,1,1,0,0,0,0,0,6,7.88235633153501,76270454.0,1987.0,worldwide (max of reported figures)
